;age;marital;housing;loan;contact;month;day_of_week;duration;campaign;previous;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y;job_admin.;job_blue-collar;job_management;job_other;job_services;job_technician;education_basic.9y;education_high.school;education_other;education_professional.course;education_university.degree
0;56;0;0;0;1;5;1;261.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;0;1;0;0
1;57;0;0;0;1;5;1;149.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;1;0;0;0
2;37;0;1;0;1;5;1;226.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;1;0;0;0
3;40;0;0;0;1;5;1;151.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;1;0;0
4;56;0;0;1;1;5;1;307.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;1;0;0;0
5;45;0;0;0;1;5;1;198.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;1;0;0;0;0
6;59;0;0;0;1;5;1;139.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;1;0
7;41;0;0;0;1;5;1;217.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
8;24;1;1;0;1;5;1;380.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;0;0;1;0
9;25;1;1;0;1;5;1;50.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;1;0;0;0
10;41;0;0;0;1;5;1;55.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
11;25;1;1;0;1;5;1;222.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;1;0;0;0
12;29;1;0;1;1;5;1;137.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;1;0;0;0
13;57;2;1;0;1;5;1;293.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;0;1;0;0
14;35;0;1;0;1;5;1;146.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
15;54;0;1;1;1;5;1;174.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;1;0;0;0;0
16;35;0;1;0;1;5;1;312.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
17;46;0;1;1;1;5;1;440.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
